scope,model_name,event_id,probe_category,gold_tuple_count,selected_evidence_count,oracle_gold_evidence_count,oracle_gold_evidence_in_prompt_count,Tuple-F1-soft,Precision,Recall,Num-Tuples,parse_success,zero_pred_count,sentiment_acc,error_category
event,deepseek-v4-flash,E001,p0_zero_prediction,4,20,4,4,0.5714,0.6667,0.5,3,True,0,0.5,sentiment_mismatch
event,deepseek-v4-flash,E002,p0_zero_prediction,3,20,7,7,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
event,deepseek-v4-flash,E010,p0_zero_prediction,3,20,3,3,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
event,deepseek-v4-flash,E032,p0_zero_prediction,4,20,6,6,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
event,deepseek-v4-flash,E011,high_gold_count,5,20,7,7,0.5714,1.0,0.4,2,True,0,0.5,sentiment_mismatch
event,deepseek-v4-flash,E012,high_gold_count,5,20,8,8,0.2857,0.5,0.2,2,True,0,0.0,low_recall
event,deepseek-v4-flash,E019,high_gold_count,5,20,12,12,0.0,0.0,0.0,2,True,0,0.0,low_recall
event,deepseek-v4-flash,E016,normal,4,20,6,6,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
event,deepseek-v4-flash,E018,normal,4,20,7,7,0.5,0.5,0.5,4,True,0,1.0,ok
event,deepseek-v4-flash,E027,normal,4,20,5,5,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
aggregate,deepseek-v4-flash,,all,41,,,,0.2593,0.5385,0.1707,13,,5,0.5714,
event,kimi-k2.6,E001,p0_zero_prediction,4,20,4,4,0.5,0.5,0.5,4,True,0,0.0,sentiment_mismatch
event,kimi-k2.6,E002,p0_zero_prediction,3,20,7,7,0.5,1.0,0.3333,1,True,0,1.0,ok
event,kimi-k2.6,E010,p0_zero_prediction,3,20,3,3,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
event,kimi-k2.6,E032,p0_zero_prediction,4,20,6,6,0.0,0.0,0.0,1,True,0,0.0,low_recall
event,kimi-k2.6,E011,high_gold_count,5,20,7,7,0.5,0.6667,0.4,3,True,0,0.5,sentiment_mismatch
event,kimi-k2.6,E012,high_gold_count,5,20,8,8,0.2222,0.25,0.2,4,True,0,1.0,low_recall
event,kimi-k2.6,E019,high_gold_count,5,20,12,12,0.6667,0.75,0.6,4,True,0,1.0,ok
event,kimi-k2.6,E016,normal,4,20,6,6,0.25,0.25,0.25,4,True,0,1.0,low_precision
event,kimi-k2.6,E018,normal,4,20,7,7,0.3333,0.5,0.25,2,True,0,1.0,ok
event,kimi-k2.6,E027,normal,4,20,5,5,0.0,0.0,0.0,0,True,1,0.0,zero_prediction
aggregate,kimi-k2.6,,all,41,,,,0.3438,0.4783,0.2683,23,,2,0.7273,
