event_id,precision,recall,f1,tp,num_gold,num_pred,sentiment_acc
E001,0.3333,0.25,0.2857,1,4,3,0.0
E002,0.0,0.0,0.0,0,3,0,0.0
E003,0.0,0.0,0.0,0,3,3,0.0
E004,0.5,0.3333,0.4,1,3,2,0.0
E005,1.0,0.3333,0.5,1,3,1,1.0
E006,1.0,0.3333,0.5,1,3,1,1.0
E007,0.6667,0.6667,0.6667,2,3,3,1.0
E008,0.25,0.3333,0.2857,1,3,4,1.0
E009,0.0,0.0,0.0,0,3,2,0.0
E010,0.0,0.0,0.0,0,3,0,0.0
E011,0.75,0.6,0.6667,3,5,4,0.6667
E012,0.25,0.2,0.2222,1,5,4,1.0
E013,0.6667,0.6667,0.6667,2,3,3,1.0
E014,1.0,0.3333,0.5,1,3,1,1.0
E015,0.0,0.0,0.0,0,3,1,0.0
E016,1.0,0.5,0.6667,2,4,2,1.0
E017,1.0,0.3333,0.5,1,3,1,0.0
E018,1.0,0.5,0.6667,2,4,2,0.5
E019,0.75,0.6,0.6667,3,5,4,1.0
E020,0.5,0.4,0.4444,2,5,4,1.0
E021,0.75,1.0,0.8571,3,3,4,0.3333
E022,0.5,0.3333,0.4,1,3,2,1.0
E023,1.0,0.6,0.75,3,5,3,0.6667
E024,0.6667,0.6667,0.6667,2,3,3,1.0
E025,1.0,0.6667,0.8,2,3,2,0.5
E026,1.0,0.3333,0.5,1,3,1,0.0
E027,0.5,0.5,0.5,2,4,4,0.0
E028,0.3333,0.3333,0.3333,1,3,3,0.0
E029,1.0,0.3333,0.5,1,3,1,1.0
E030,0.5,0.3333,0.4,1,3,2,0.0
E031,0.25,0.25,0.25,1,4,4,0.0
E032,0.0,0.0,0.0,0,4,0,0.0
E033,0.0,0.0,0.0,0,5,0,0.0
E034,0.5,0.2,0.2857,1,5,2,0.0
E035,0.3333,0.25,0.2857,1,4,3,1.0
E036,0.5,0.5,0.5,2,4,4,0.5
E037,0.0,0.0,0.0,0,4,0,0.0
E038,1.0,0.5,0.6667,2,4,2,0.5
E039,0.6667,0.4,0.5,2,5,3,1.0
E040,0.0,0.0,0.0,0,4,1,0.0
E041,0.25,0.2,0.2222,1,5,4,1.0
E042,0.75,0.6,0.6667,3,5,4,0.0
E043,0.25,0.25,0.25,1,4,4,1.0
E044,0.6667,0.4,0.5,2,5,3,0.0
E045,0.5,0.4,0.4444,2,5,4,0.0
E046,1.0,0.3333,0.5,1,3,1,0.0
E047,1.0,0.3333,0.5,1,3,1,0.0
E048,1.0,0.3333,0.5,1,3,1,0.0
E049,0.75,0.6,0.6667,3,5,4,0.6667
E050,0.75,1.0,0.8571,3,3,4,1.0
